pid,question
407,Transportation and affordability are the two most important issues facing us. Both issues have reached a crisis point where poor handling could kill the local economic dream. Affordability cannot be addressed long-term by bond-supported subsidy programs.  It must be addressed through transportation improvements and tax reduction.
408,THE DISAPPOINTMENT I HAVE THAT OUR STREETS ARE FILLED WITH HOMELESSNESS AND TENTS UNDER BRIDGES AND THE PANHANDLING THAT COMES WITH IT. AUSTIN IS TURNING INTO SAN FRANCISCO WITH NEEDLES AND POOP ON THE STREET.
409,We need better mass transit.
410,WHAT DOES THE CITY FOR THE FUTURE IN THE NEXT 20 YEARS?
411,KEEP AUSTIN AFFORDABLE
412,Homelessness/transients
413,Continue to make people feel welcome regardless of what Governor Abbott says.  I would like our island of blue to grow in the sea of red.
414,FOCUS ON BUILDING THE INFRASTRUCTURE
415,"You have a hard job, keep pushing forward!"
416,LET'S IMPROVE PUBLIC TRANSIT
417,Please clean up the homeless camps. The camps are eyesores and lower the city of Austin's appeal.
418,"Let's clean up the trash on our roads, waterways, and neighborhoods and take more pride in the appearance of our city"
419,HOMELESS CAMP IS AN EYESORE
420,"YOU ARE A JOKE, NO VISIBILITY. NO INDEPENDENT AUDIT. WASTEFUL SPENDING, ANTI-CAR AND FAVORING THE HOMELESS OVER RESIDENTS AND TOURISTS. LET THEM CAMP IN YOUR YARD!"
421,HIGHWAY SYSTEM ARE VERY INADEQUATE
422,WE NEED A TRANSPORTATION PLAN FOR 20 YEARS IN THE FUTURE.
423,"The homeless, lawn care, security at night."
424,Address mobility (traffic/public transportation)!
425,"Strive for efficiency, reduce spending, reduce taxes."
426,"WHEN YOU EXPAND OR WIDEN A FREEWAY ADD TWO LANES, NOT ONE! PLAN LONG TERM."
427,Get the homeless off our streets. They are trashing our city that was once the most beautiful city in Texas.
428,LET'S FUND AND BUILD A STATE OF THE ART LIGHT RAIL SYSTEM.
429,CONTROL HOMELESS POPULATION
430,"sidewalks, lighting, subways"
431,FOCUS ON DELIVERABLES.
432,Homeless community is getting out of control.
433,BUILD TRANSPORTATION INFRASTRUCTURE FASTER.
434,KEEP AUSTIN A NEIGHBORHOOD FRIENDLY CITY FOR ALL INCOME LEVELS.
435,REDUCE SIZE OF BUREAUCRACY.
436,STOP THE RISE IN PROPERTY TAXES DUE TO INFLUX IN POPULATION. PROVIDE BETTER QUICKER ROAD INFRASTRUCTURE TO ACCOMMODATE GROWTH.
437,Fix the transportation problem!
438,Change recapture
439,STOP WASTING MONEY AND RAISING TAXES.
440,INVEST AND PROTECT IN THE CITY'S PARKS AND TRAILS
441,DEAL WITH THE HOMELESS POPULATION.
442,"TRAFFIC, PROPERTY TAXES"
443,Don't even suggest I should allow a homeless person camp in my neighborhood. The Mayor is way to far left on the homeless support a beggar issue. He will  not have my vote for any future election.
444,PROPERTY TAXES TOO HIGH
445,"Continue efforts to take homeless off the streets through advances in very affordable housing, cheap public transportation and jobs."
446,Please limit useless bicycle lanes where they mess with the traffic!
447,TAX RELIEF
448,"ADD MORE SIDEWALKS IN RESIDENTIAL AREAS, SLOW TRAFFIC THROUGH RESIDENTIAL AREAS (78757) AND PAVE N LAMAR BETWEEN 45TH ST & 183"
449,Stop increasing the property taxes!
450,"Lack of communication, false information from public works employees. Poor quality you of work that you do.  Avoidance of issues is alarming and disappointing."
451,"PLEASE STOP BUILDING NEW TOLL ROADS. THESE ROADS ARE NOT WORKING TO REDUCE TRAFFIC. WE NEED MORE MAJOR ROADS, BUT WHEN THEY HAVE TOLLS ON THEM, A HIGH PERCENTAGE OF DRIVERS WON'T USE THEM AND THEY ARE OFTEN EMPTY, WHICH IS A WASTE OF THE RESOURCES USED FOR THOSE ROADS."
452,"We can't do everything we would like, so watch the budget."
453,OUTSIDE AUDIT
454,Control the panhandler epidemic.  Make it illegal to give money to panhandlers.  They need to move on with their live.  People enable them to be stuck by giving money.
455,Stop encouraging homelessness!
456,ALARMING SIGNIFICANT REDUCTION IN LIZARDS AND BIRDS
457,Be more discriminating about the cost of non-essential services that are considered by the City Council.
458,PLEASE BE MORE TRANSPARENT AND OPEN TO INPUT FROM WE CITIZENS
459,To stop pandering
460,"Don't run for reelection.  Thanks for your efforts, but I could have done a better job!  And that's a fact!"
461,WE NEED A BOLD COMPREHENSIVE PLAN TO MANAGE GROWTH.
462,CONTINUE TO KEEP IT GREEN AND CLEAN. THANK YOU
463,"MOVE ON ADLER.I'M VOTING AGAINST ALL THOSE IDIOTS. WE CAN'T AFFORD TO LIVE HERE ANYMORE, AFTER 3 GENERATIONS."
464,THE MAYOR IS DOING A GOOD JOB.
465,"I am disappointed in the process used to approve the soccer stadium. On the other hand, I am glad that the council changed laws regarding homeless Austinites."
466,LAND TAX HAS TRIPLED SINCE BUYINT.
467,HOMELESS PROBLEM GETTING WORSE IT NEEDS TO BE IMPROVED.
468,AFFORDABLE HOUSING AND PUBLIC TRANSIT
469,DO SOMETHING ABOUT THE ARCH.
470,"Stop spending my money.  Your battle cry to make Austin affordable is a joke.  Austin will never be affordable if you keep raising our taxes.  Now that I am retired, I am seriously considering selling my house and moving out of Austin.  I will gladly take my tax dollars somewhere else."
471,"Let AUSTIN ,Tx be AUSTIN ,Tx not  AUSTIN, California"
472,"Need better mental health services, more locations, accessibility to treatment centers."
473,PLEASE DON'T ALLOW DOWNTOWN AUSTIN TO BECOME MANHATTAN.
474,spend less money
475,ALLOW ME TO PARK IN FRONT OF MY HOUSE.
476,Lower taxes
477,Stick to the basics; don't try to fix the human condition.
478,HOMELESS SITUATION
479,We actually need another way in or out of Craigwood drive and 969 subdivision.
480,THE PANHANDLING ON STREET CORNERS IS DANGEROUS. THE HOMELESS CAMPING PLAN ADOPTED BY COUNCIL IS TERRIBLE IDEA!
481,SOCIAL JUSTICE
482,Stop tearing up streets.  Give the police the tools they need to manage drug addicted homeless population.  Manage the scooters blocking our sidewalks or eliminate them.
483,MORE ALL HOMELESS SHELTERS OUT INTO SCHOOLS ALL OVER TOWN.
484,BACK OFF MAKING AUSTIN A HOME FOR THE PANHANDLERS AND HOMELESS. THE MAYOR AND CITY COUNCIL ARE RUINING AND MAKING AUSTIN UNSAFE.
485,Better mass transportation(rail and train) from south Austin to North Austin or surrounding cities North or South.
486,Leave Burnet Road alone.  There's nothing wrong with it.  The medians will kill businesses and degrade the neighborhood.
487,KEEP THE HOMELESS AND PANHANDLERS AWAY FROM SCHOOLS AND CHILDREN
488,Fix the transportation problem.
489,DECONGEST THE ROADS
490,Please add shade to public park playscapes. They are unusable in the summer without shade.
491,"RESOLVE THE CAMPING PROBLEM of the unhoused - the streets and underpasses are filthy, smelly, unsafe and a blight"
492,Austin is a special city.  Please continue to preserve and improve what we have like Barton Springs and fight to preserve what we have with our Edwards recharge zones.
493,DON'T LET UP ON THE AFFORDABLE HOUSING AND HOMELESS ISSUES!
494,RAIL HAS TO GO DOWNTOWN TO AIRPORT.
495,Overall property taxes are too high mostly due to state not fully funding schools but more efforts need to be undertaken to lower property taxes considering property values have been rising so much
496,TRAFFIC IS AWFUL!
497,Electric rates and water rates are too high along with taxes. Need to reduce number of city employees
498,Repair the homelessness problems
499,fix the homeless nightmare
500,"Improve traffic on I-35, Mopac and major arteries. I am very interested in progress toward zero waste."
501,"East Austin needs more north/south roads crossing the river and the greenbelt between William cannon and stassney, east of 35. Pleasant valley can't handle it all."
502,"Fix the out-of-control homeless problem in the downtown area of risk losing the Austin music and tourism industry! Stop talking, stop the phony promises and fix the problem."
503,STOP ENCOURAGING MORE PEOPLE TO MOVE HERE!  AND STOP TEARING DOWN ICONIC AUSTIN INSTITUTIONS LIKE THREADGILLS!  START RESPECTING LONG TERM RESIDENTS!  WE DO NOT WANT MORE CONDOS AND MORE DENSITY!  WE DO NOT WANT MORE FESTIVALS!
504,All interactions I have had moving to Austin with government employees has been excellent. My only problem with Austin is that employees will not hire older workers.
505,Try to improve traffic on Brodie between Slaughter and 1626.
506,Musicians USED to be able to make a living to afford to live here...we should figure out a way to make that possible for them again.
507,"Austin is a wonderful place to live for me and my family, but we want to be sure it remains that way and also to extend that sense of welcome and inclusion to others. Make sure our city is welcoming to all races and income levels. Be welcoming to immigrants. Let's be a city that is not just known for our music festivals, but also for our efforts to build an inclusive, welcoming, sustainable community for everyone who chooses to live here."
508,"Get the traffic under control, especially on MOPAC."
509,"You know what city department is well run?  ABIA.  They have a vision, they don't spend a lot of time to debate it, they execute.  
We are the fast growing large city in the US and acting like a podunk backwater college town that we were in 1968 - just stop.  
That kind of endless dickering doesn't solve problems - it's can kicking and every year the problems get worse. . .and worse. . .and worse.
And you know what - one of these days we're going to get into a pickle where we just don't have the resources to solve it any more.   Our economic success is masquerading a huge problem - but we won't have that forever.  When we do hit a hiccup it's going to be very  painful for all.  
We could fix it now, when we have the resources and energy that come from this tremendous growth.  We use that to our advantage, or we get run over by it."
510,Traffic congestion
511,"Austin is doing an amazing job with its animal services . The no-kill initiative has been so successful. Please keep it up! 
Improvements to I-35, especially between slaughter lane and downtown , are desperately needed ."
512,"This survey should have been administered online. Paper, postage, etc. wasteful! Why do you hate the environment?"
513,"We need to quit wasting money on Code Next consultants, trips to the border for problems that aren't in your jurisdiction and make the city efficient. You need to find ways to cut spending and stop wasting. My property taxes are over $1,000 per month for 1 person.  How would someone be able to retire when you raise taxes every year regardless of the ability to pay?"
514,"Austin is turning into cement city! I live within the city limits and more and more of what little GREENBELTS that we had are being torn down and more office buildings, apartments and condos are taking over everywhere."
515,The city has to become more affordable for everyone. Even middle class people like my husband and I will have to move in order to accomplish our goals in life.
516,"Quit giving away freebies because you think it is cool to have in Austin. Also, worry about Austin residents and not state and federal issues (immigration on border)."
517,Please keep the growth in check.  We are beginning to look like a sprawling Los Angeles.  :(
518,"Try and do things the Texas way, not the California way."
519,"Austin has been good to me and my family over the past 25 years.  Growth is exciting, but my neighbors and I share concerns about a loss in the quality of life due to the growth.  Improved, smart, greatly expanded public transportation options and policies that help people live in and stay in the City are critical to keeping Austin livable.  As property values sky-rocket, that again is exciting.  But those of us who do not want to cash out and leave are being pressured by high taxes.  And one by one, we watch our neighbors move out of the neighborhood replaced by investors who will never lay eyes on their investment much less become a part of the neighborhood.  Change is hard.  But people and quality of life  spurs Austin's growth too.  I sometimes worry that the City is more concerned about attracting big business here than about keeping us here."
520,I want to stay within the city and would love assistance on home buying that I qualify for with my income. I've been attempting however at this moment what I qualify for isn't exactly how I would like to live or they get taken by investors at cash or someone who can offer more than I can. I love being here in Austin and want to raise my son here as well Simply need better resources
521,That we need better highway roads or over access highway for better traffic control.
522,"I know the voters make it really hard by rejecting the various proposals on the ballot, but traffic and transportation really is becoming a nightmare here in Austin. I'm fortunate to live close to work, but I actively avoid driving to the north side of the city unless absolutely necessary because traffic has become so bad. And yes, the bus system is an option, but it is very slow and adds significant time to my travel."
523,Affordability is KILLING our Creative Class. Something MUST be done or we will become another DFW.
524,I hope you are voted out in the next election.
525,GET ALL THIS GODDAMN ROAD CONSTRUCTION......MOVING!! 35s been messed up since BEFORE I moved here 10 freaking years ago!
526,Get more funding for public education.
527,Fix the traffic situation!!
528,Make property taxes cheaper for Senior Citizens receiving only Social Security income.
529,Wish there would be better education of residents on services offered by the city.
530,"Stop wasting tax dollars on non-essential city services, focus on fixing the most pressing problems of the city,  stop taxing and spending like liberals, and make city government more fiscally transparent.  I'm also amazed that there was not a single question about schools (unless they are after this question)."
531,"Get ahead of infrastructure growth even if that makes people upset,  commute times are insane"
532,"VERY DISSATISFIED. VOTED FOR ELECTED OFFICIALS AND WILL NOT IN THE COMING ELECTIONS. WHAT THEY STATED THEY WERE GOING TO DO HAVE NOT BEEN FULFILLED. THEY HAVE LIED ON LOWERING PROPERTY TAXERS AND COST OF LIVING AND MAKING IT AFFORDABLE. THEY GIVE TAX BREAKS TO LARGE CORPORATIONS AND COST BREAKS ON UTILITIES, FREE HOUSING . HOME TAXES HAVE SKY ROCKETED AS WELL AS UTILITIES. AUSTINITES ARE BEING PUSHED OUT. MIDDLE INCOME FAMILIES AND SENIORS LOSE THEIR HOMES. MAYOR AND COUNCIL NO ACCOUNTABILITY ON HANDLING CITY FUNDS. HAVE LOST TOTAL CONFIDENCE IN GOVERNMENT. TIRED OF ALL THE LIES."
533,SUPPORT DIVERSITY AND AFFORDABLE HOUSING.
534,BE FAIR ABOUT CITY SERVICES. WHY ARE OUR TAXES GOING UP WITH ALL THE GROWTH.
535,GET PROPERTY TAXES UNDER CONTROL
536,PLAN FOR ACCELERATED GROWTH. CLIMATE CHANGES PROMISES TO DELIVER MORE COASTAL CRISIS AND POPULATION DISPLACEMENT. AUSTIN WILL EXPAND AS A RESULT. THINK BIG. THANK YOU FOR PRIORITIZING SMART GROWTH AND A DENSE URBAN LANDSCAPE.
537,THERE ARE TOO MANY HOMELESS PEOPLE NOW. THEY ARE THE MAJOR PROBLEM TO THIS CITY. MANY OF THEM ARE DANGEROUS.
538,"PUT AN END TO CONDO/APARTMENT DEVELOPMENT. IT IS RUNNING OUT WHAT MAKES AUSTIN GREAT. MAKE OWNING A HOME FEASIBLE AND STOP WITH THE INSANE PROPERTY TAXES. GET THE HOMELESS SHELTERS OUT OF CENTRAL DOWNTOWN,"
539,Cost of living.  Keep it affordable.  It really isn't anymore.
540,"HOMELESS SITUATION IS SCARY, URGEN, BAD, DANGEROUS, DISGUSTING, ETC. RUINS ENTIRE BLOCKS OF DOWNTOWN THAT USED TO BE SO FUN."
541,TRAFFIC PROBLEMS BECOMING WORSE EACH YEAR.
542,IMPROVEMENT ON WATER INSPECTION WHEN BILLS ARE HIGH AND FINDING A SOLUTION
543,utilities are too expensive do begin with but the city arbitrarily triples bill for a month
544,please find a way to get the homeless people off the streets and into some kind of housing
545,IMPROVE THE ISSUE WITH HOMELESS.
546,1.  Keep taxes down so people can continue to live in their homes - not have to move.  2.  Homeless
547,FIX THE STREETS IN THE CROSSING AT ONION CREEK NEIGHBORHOOD OFF SLAUGHTER LANE. HORRIBLE GRAVEL WORK . LOOK AT HOW MANY STREET CALLS IT HAS GOTTEN.
548,"transportation...congestion, lack of public options, NO PLAN FOR THE FUTURE!"
549,Need to improve planning for traffic congestion.
550,Affordable housing should be a priority.
551,Plan for better transportation options before inviting more growth.
552,NEED TO MAKE COST OF LIVING BALANCED FOR MORE PEOPLE
553,ADDRESS THE BURDEN OF PROPERTY TAX ON FIXED INCOME. FIND A BETTER FOR SOLUTION FOR TRAFFIC PROBLEMS.
554,"It's become a city for the rich and it didn't used to be this way.  We would move to the small city's nearby because of traffic and affordability, but our children and medical care keep us here."
555,"I'm not a tea party activist and believe taxes are needed for city services, but I am curious why Austin has higher effective tax rates than either Houston or Dallas, which dwarf Austin in size."
556,Keep walking areas for children clear of debris.
557,"Concern with public transportation, poor options."
558,"Visit France and see how they save energy, also parking on the streets and go paperless."
559,Start working on a subway.
560,Work harder for healthcare.
561,AUSTIN HAS A LOT OF IDENTITY WITH THE MONEY AND GROWTH GREED AND ATTITUDE. IT IS GETTING WORSE FOR THE PEOPLE THAT WORK.
562,Improve alternative modes of transportation as much as possible. More protected bike lanes. Increase late night bus options.
563,Pay teachers more.
564,"Please introduce a program to better assist the homeless people resources for jobs, housing, and health/mental care."
565,"Stop the sanctuary city business: it is lowering school standards and scores, costing me more and more money in taxes to provide them education, housing, medical, and crime costs"
566,Plan for traffic problems
567,fix mopac
568,I love employees at Austin Downtown Alliance.
569,THINK BIGGER
570,THE CITY OF AUSTIN SHOULD CONSIDER INVESTING IN A CONTINUOUS IMPROVEMENT PROGRAM FOR SYSTEMAKE PROCESS IMPROVEMENT.
571,Better job opportunities are needed in such a booming city.
572,"Please continue to focus on preservation/improvement of Austin's' natural beauty i.e.; Greenbelt, Barton Springs etc."
573,STOP WITH SOCIAL ENGINEERING AND STICK TO THE BUSINESS OF MANAGING A CITY
574,"WE NEED SUSTAINABLE TRANSPORTATION ,ENERGY AND PRACTICES IN PLACE TO SUPPORT AUSTIN FOR THE GREATER GOOD."
575,More recycling resources for cartons and other items not accepted at recycling center currently.  Expand I-35.  More low income housing.
576,"I feel my Hobbs Addition neighborhood is being left out of city budgets for renovations. Th streets are and drainage system is  need of major repairs, water sits on streets and dose not drain, the access to my home street is dangerous, there is no money or time spent to update the roads and signage on Ledesma from Spring Dale to Terry Dr. New homes are built everyday and no improvement to the roads or infrastructure are made. taxes are paid and no update to my hood. very disappointing"
577,"Please move the homeless shelter outside downtown area, kills the buzz of people wanting to come visit and diminishes tourism."
578,"PALACE PKWY AT DITTMAR NEEDS SPEED BUMPS ON STREET, CARE GO SO FASE, ITS UNSAFE FOR PARKED CARS AND PEOPLE CAUSE CARS GO FAST ALONG PALACE PKWY  THANK YOU"
579,PLEASE DO SOMETHING ABOUT THE TRAFFIC. TOO MUCH DEVELOPMENT NOT ENOUGH INFRASTRUCTURE.STOP WITH THE HORRIBLE BLACK PAVING IN OUR NEIGHBORHOOD IT IS CHEAP AND UNSAFE.
580,"Listen to the working, tax paying citizens."
581,traffic is a problem but it'll take time and money to keep up with the fast population increase
582,Traffic congestion and lack of quality/professional transit options is unacceptable if you continue to allow development structures in the city - work with surrounding counties/cities to deliver best for all transportation/roads/hwy use.
583,DO SOMETHING About traffic
584,Fix the homeless problem.  Get them out of the middle of the streets and street corners begging!
585,Affordability and property taxes are too high. Do not give new businesses tax incentives that cause home owners to pay so much. We won't be able to afford to live here. Fix transportation issues. No development without transportation options first.
586,THE CITY NEEDS MORE SIDEWALKS AND BETTER CULTURAL INFRASTRUCTURE.
587,STOP BEING A SANCTUARY CITY!
588,WORK ON INFRASTRUCTURE AND IMPROVE TRAFFIC
589,"It's time to realize that Austin is a great place to live but if we continue to grow at the pace predicted the city infrastructure and transit systems will need to be expanded.  Austin, unfortunately, is getting bigger so we need to figure out how to manage and plan for that growth now not in 5 or 10 years when it is too late.  We need to expand on what made Austin what it is today and not lose that through the growing pains. I get to travel all over this country for work and I can live anywhere but I choose to live here for the people, community, and uniqueness that is Austin.  Don't lose sight of that."
590,More police presence in neighborhoods.
591,Finalize the contract with APD!
592,Expand public transportation.
593,"LOWER THE RENT, HAVE TO CHOOSE BETWEEN RENT AND MEDICINE."
594,Not everyone in this city is rich!
595,"Obey the rule of law, eliminate ""Sanctuary City"" policies."
596,"CITY NEEDS TO TAKE CARE OF MEIDIAN STRIPS. BASIC MOWING. HOMELESS NEED A PLACE TO SHOWER, USE THE BATHROOM, MENTAL HEALTH SERVICES"
597,"Make Capital Metro train: (1) More frequent, every 20 or 30 minutes. (2) Longer hours, especially on weekends, (last train @ 2 AM). (3) Add more stops SOUTH (e.g. One at South Congress and another at South Lamar). We don't need more stops further north!"
598,"Living wages, if the people legally here can not afford to live here, what does that say about the wonderful city Austin in the great state of Texas?"
599,"Fix our streets, more access to north and south Austin. Fix I 35 through downtown!!"
600,"Please do something about the increasing number of homeless panhandlers, clean up for this population is absent."
601,"You're pricing families out of the city between actual costs, taxes and electric services."
602,LEAD IN HOW WE PLAN FOR GROWTH AND BECOME 100 PERCENT RELIABLE ON RENEWABLE ENERGY
603,NOT HAPPY WITH THE CODE NEXT/HOW IT WAS HANDLED
604,INVEST IN PROACTIVE FLOOD MANAGEMENT
605,"INVEST MORE IN THE COMMUNITY. ENHANCE PARKS, PRESERVE THE GREEN."
606,"Downtown parking - high rise buildings are taking over (okay with that), but parking is terrible unless you Uber or Valet."
607,STOP BEING SO LIBERAL THIS ISN'T CALIFORNIA THAT'S WHY WE MOVED HERE.
608,Thank you for continuing to make Austin great.
609,PLEASE ONLY MESS UP ONE AREA AT A TIME. I'M SO TIRED OF UNFINISHED PROJECTS ALL OVER THE PLACE.
610,Do not rename everything to satisfy some malcontents or perceptions of wrongs of past.
611,"Traffic is a huge problem. The city is out of control with bars, drinking, and drugs."
612,PLEASE FOCUS ON DIVERSITY AND PUBLIC TRANSPORTATION.
613,AUSTIN NEEDS TO INCREASE EDUCATION STANDARDS ACROSS THE CITY.
614,The city needs more public transportation!!  The traffic on roads has gotten much worse through the years.
615,"Focus on the essentials - water, safety, housing.  Very critical in our current rate of growth."
616,Run city government like a business.  Make city employees and officials accountable for their performance.  Let the out-of-the-box ideas be given consideration.
617,"All Austin residents deserve safety, cultural enrichment, food and housing security and confidence that they will enjoy equal rights and protection.  We have improved as a city over the last few decades, but we have not always ensured equality of opportunity or well managed growth.  This is a great city - thanks for reaching out and asking people about their perceptions and goals."
618,DON'T LET DIVERSITY SAIL OUT OF YOUR TEAM.
619,WE NEED TO FIND A WAY TO INVEST IN EXPANDED PUBLIC TRANSIT IN A WAY THAT WE CAN AGREE TO REDUCE TRAFFIC AND MAKE DOWNTOWN MORE ACCESSIBLE. NEED MORE SERVICES FOR HOMELESS.
620,WOULD PREFER TO WORK TOWARDS LOWER TAXES
621,MORE PUBLIC TRANSPORTATION
622,STOP GENTRIFICATION
623,"PUBLIC TRANSPORTATION , TRAFFIC CONTROL."
624,ADDRESS ISSUES OUTSIDE DOWNTOWN CITY CORE AREA
625,I SEE INCREASED DEVELOPMENT WITHOUT SAME LEVEL OF WERVICES. COST OF LIVING IS INCREASING WHILE SALARIES ARE NOT.
626,fix the william cannon 290 intersection please
627,"I MAKE A GOOD SALARY, YET I AM UNABLE TO AFFORD TO BUY A HOUSE/TOWNHOUSE/CONDO IN AUSTIN BECAUSE IT IS SO EXPENSIVE. PROPERTY TAXES ARE OUTRAGEOUS. AUSTIN IS NO LONGER AFFORDABLE AND TRAFFIC IS BAD-DO SOMETHING."
628,"Always put the interests of the most vulnerable people first. Live to serve, not to lead."
629,TRAFFIC
630,QUIT CHOOSING A SIDE FOR VOTES
631,"PUBLIC LIGHT RAIL/CITY TRAIN TO IMPROVE WALKABILITY--LOOK AT HOW THEY DO IT IN BROOKLYN WHERE ALL NEIGHBORHOODS ARE WALKABLE AND PEOPLE CONGREGATE WITH THEIR NEIGHBORS AT LOCAL BUSINESSES, PARKS, COFFEE SHOPS. LET'S DO THAT IN ATX AND SHOW TEXAS HOW ITS DONE."
632,We need a world class museum.
633,Negotiate a fair contract w/apd and get more cops on patrol. Safety is #1 and the Mayor and council seem not to care. Crime is on the rise because there is no police presence.
634,Need to plan for growth but do not do at the expense of our original downtown neighborhoods the provide housing for families & some of our older & retired residents.
635,"Education needs improvements. Traffic, high rent. My daughter goes to a school rated 1 out of 10 where are my taxes dollars going."
636,"THE HOMELESS LIVING HERE UNDER BRIDGE 183 IS OUT OF CONTROL, CAN NOT STOP WITHOUT BEING CONFRONTED, SHAME, FILTHY CONDITIONS TO WTINESS, DALLAS DOES NOT ALLOW WHATS HAPPENING TOSTATE CAPTIAL AUSTIN"
637,"DIFFERENT SERVICES TO GET AROUND AUSTIN GROCERY SERVICE FOR ELDERLY, NOT JUST ROUTINE VALUES"
638,homeless/panhandling
639,PLEASE TAKE INTO CONSIDERATION PEOPLE WHO HAVE LIVED HERE THEIR WHOLE LIVES AND WOULD RATHER LEAVE THAN HAVE TO MOVE TO A POORER PART OF AUSTIN
640,WE ARE LUCKY TO HAVE MAYOR ADLER
641,"PLEASE LOOK FOR SOLUTIONS ON PUBLIC TRANSPORTATION, LIGHT RAIL SYSTEMS, SELF DRIVING CARS."
642,"Stop spending money on bike lanes - it's ruining transportation because bicycles don't obey traffic laws. We do not need a soccer team - with any hope, the current mayor will be gone soon after the next election."
643,"There are only 2 ""gender identities"". Small Business owner and self employed were left off as an option but that isn't surprising seeing as the Mayor seems to be at war with us just like the obama administration was. Cut the liberal garbage and get the business done. Stop blowing money on diversity and trying to make Austin more affordable or inclusive because spending money on nonsense just makes it more unaffordable for everyone. Get to work you bums and focus on what matters instead of pandering to your voting base."
644,"Our low income neighborhood doesn't get the attention of upkeep of sidewalks, low hanging limbs over sidewalks, loud music and partying of neighbors (too often) after 11:00 pm."
645,THE AIRPORT IS TERRIBLE.
646,I'd like to see the city do what it can to push back against the Trump Administration's immigration policies and foster an environment that treats people justly but also humanely and with compassion.
647,Traffic. Street light timings. Add Metered on-ramp to Highway 5.
648,"Imagine Austin in 20 years - 2338, without bold, transformational choices about congestion, cultural attractions, and job diversity, ATX will be all condos and bars. Time to put some 200-year steaks in the ground to make sure Austin has some history to lean on. Let's get a museum district going. Let's support ethnic enclaves that give Austin unique points of view. Let's have teacher's able to live in the city limits and for gosh sake, bring back ""Auditorium Shores""."
649,Open all pools in the summer.
650,Transparency
651,Clamp down on homeless people turning Austin into a (terrible place.)
652,"Stop raising taxes to subsidize political causes, and wasting resources on stupid things like trying to change the city name."
653,More trains - less toll roads.
654,"We need  better cost of living $1600 + for a 2 bedroom apt really, and 2 people working 2 jobs to make ends meet and still live pay check to paycheck... 30 min to get out of downtown from The capital to Riverside, really. Better traffic system to get people in and out Look at Las Vegas for ideas...they have a great system...when making new subdivisions, improve the roads to get the new residence and older ones in and out of the area, don't leave one lane for a subdivision of 365+ houses and expect that the traffic is going to flow so great...Look to larger cities on loops around the city for traffic flow.  Do not just spend more money on the more rich side to have better roads then those on the south or east side..."
655,"ECOURAGE TRANSPARENCY, EFFICIENCY AUDITS, MAINTAINING OUR NEIGHBORHODD AND POOLS"
656,"continue working on fastening a sense of community here in Austin, we want this city to feel like a family where everyone respects, cares for, and loo0ks out for on another"
657,"Expand trains, extensively. Build bypass for I-35, 71, 183. Do better with preserving the east code and avoiding gentrification. Work to reduce traffic and vehicular reliance/dependence."
658,"Focus on Austinites. It is hard to keep up with the increasing cost of living in Austin. Having a bond to help low income people increases the taxes and impacts current resident low income people. Also, the train is a mess. Does anyone pay to ride? No one ever checks for a ticket. There are so many people standing, someone is going to get hurt and sue the city."
659,"Invest more in transportation, mobility and thoughtful development to ease congestion. Support sustainable grown to preserve Austin's character."
660,stop subsidizing city govt with high elec/water rates
661,"More walk-able areas, less cars."
662,WE HAVE TO FIGURE OUT A WAY TO MANAGE GROWTH AND KEEP AUSTIN AFFORDABLE
663,Traffic
664,ROLL BACK PROPERTY TAXES FOR HOMEOWNERS OVER 65
665,FIX THE TRAFFIC. STOP BUILDING TOLL ROADS
666,Highway development
667,INCREMENTAL CHANGES AND GRAND BARGAINS WITH DEVELOPERS AND LANDLORDS WILL NEVER STEM THE TIDE OF GENTRIFICATION. WE HAVE TO SHIFT POWER TO WORKING PEOPLE AND TENANTS.
668,"Fix the traffic situation on I-35, Mopac, 290 and other major roads.  Toll roads are not the solution.  Also, small ""construction"" fixes along these major roads won't work.  By the time construction is done, the city growth will have already outgrown the ""new"" road.  One solution would be an affordable rail system along I-35, Mopac, 183 and Ben White with park and ride locations along the route."
669,we need to solve the traffic/transportation problems plaguing this city
670,Need more affordable housing.
671,"Quit trying to change this city into a bastion for homeless people.
Fix our traffic problems
Stop spending money on worthless projects."
672,"Austin has been home for a long time. It is a great place to bring up a family, outside of the summer heat and allergy seasons."
673,"I want this city to be diverse, affordable, and accessible for middle class families. There are a lot of cool things in the city I don't take advantage of because it's too much effort and time to drive downtown and park."
674,"Austin's ready for change. Share a bold vision and we'll get behind the Mayor and City Council. Be transparent about the trade-offs we'll make as a community and the consequences for not seizing this moment. You weren't elected to lead Austin in the '60s or the '80s; you were elected now and we need leadership more than ever. Change is the only constant. We either find a way to gracefully grow this city, helping as many residents benefit from that growth as possible, or someone else - big developers, big corporations, etc. - will impose their vision on us during a moment of disunion and weakness."
675,KEEP MOVING FORWARD ON CLIMATE CHANGE
676,Help make transportation options more comprehensive - y'all have done a good job with buses and biking/walking corridors.  Keep at it!
677,CITY PLANNING NEEDS TO BE ADDRESSED.
678,INVEST IN A DART LIKE LIGHT RAIN THAT IS VIABLE
679,Build more non toll roads.
680,east river dr needs repaved and construction areas need better street clearing crews to prevent so many flat tires and car issues   thank you
681,Stronger math and literacy  programs in schools.
